           1           7
           2           9
           3           2
           4          10
           5           6
           6          11
           7           8
           8           5
           9           1
          10           4
          11          12
          12           3
          13           2
          14           1
          15           9
          16           5
          17           8
          18           6
          19          10
          20           7
          21          11
          22           4
          23           3
          24          12
          25          10
          26           2
          27           7
          28           3
          29           8
          30           1
          31           6
          32          11
          33           4
          34           5
